,epoch,train_loss,val_loss
0,0,6.9809255859375,6.9809255859375
1,1,6.908435122680664,6.944680354309082
2,2,6.736267575073242,6.875209427897135
3,3,6.692283688354492,6.829477993011475
4,4,6.663199865722656,6.79622236755371
5,5,6.657084622192383,6.773032743326823
6,6,6.655589270019531,6.756255104282924
7,7,6.656034783935547,6.743727564239502
8,8,6.6923944244384765,6.738023882039388
9,9,6.71865908203125,6.7360874020385735
10,10,6.726088616943359,6.735178421575372
11,11,6.745522937011719,6.736040464528401
12,12,6.754337252807617,6.737447909780648
13,13,6.803928674316406,6.742196535818917
14,14,6.81458099975586,6.747022166748047
15,15,6.834697125244141,6.752501851654053
16,16,6.857889944458008,6.758701151230756
17,17,6.890648352050781,6.7660315512763125
18,18,6.853183273315429,6.7706184840152135
19,19,6.876752774047851,6.775925198516845
20,20,6.881346496582031,6.780945260329473
21,21,6.873612335205078,6.785157400096546
22,22,6.883772146606446,6.7894449977708895
23,23,6.850983068847656,6.7920090840657545
24,24,6.844051983642578,6.794090800048828
25,25,6.893073300170898,6.797897819284292
26,26,6.860564541625976,6.800218809000651
27,27,6.851853161621094,6.802062893022809
28,28,6.856974102783203,6.803956383014547
29,29,6.8421657867431644,6.8052300298055
30,30,6.844225314331054,6.80648794220955
31,31,6.853667474365234,6.8079623025894165
32,32,6.8511753845214844,6.809271789920691
33,33,6.878500842285156,6.811307938519646
34,34,6.844897534179688,6.812267641252791
35,35,6.870514935302734,6.813885621643067
36,36,6.870741055297851,6.815422254985088
37,37,6.864332702636719,6.816709372028552
38,38,6.872104635620117,6.818129763402695
39,39,6.852160174560547,6.81898052368164
40,40,6.889070947265625,6.820690046208078
41,41,6.87773265991211,6.822048203677222
